GLOBAL_INDEX,WORD,NOUN_CLASS_CLEAN,PAGE-COLUMN,FREQUENCY
20,inyăbu,9|10,P1-C2,1032
55,ubwăge,14,P2-C2,574
7,urwăbagiza,11,P1-C1,433
25,icāduka,7|8,P1-C2,426
60,umwâgirizi,12,P2-C2,422
359,icango,718,P12-C2,384
32,umwăga,1|2,P1-C2,378
6,umwâbagirano,3|4,P1-C1,279
1,umwaba,34,P1-C1,245
314,iyàndika,5,P11-C2,220
37,amăgāge,6,P2-C1,207
21,kwabura,9,P1-C2,202
40,umwâgambo,3l4,P2-C1,179
2,akāba,12|13,P1-C1,150
102,Abahbuka,2,P3-C2,145
305,umwandāra,3,P11-C1,140
244,icâmo,78,P9-C1,131
633,imbagabaga,910,P20-C2,126
222,akôgabămi,1213,P8-C2,118
199,inyàmbárwa,56,P7-C1,114
657,ibahări,5|6,P21-C2,108
26,kwâduka,7,P1-C2,106
209,umwâmburá,344,P8-C1,99
98,umwâho,314,P3-C2,91
257,urwamūzo,1110,P9-C2,84
186,umwâmbango,3j4,P6-C2,77
211,umwamburanyi,112,P8-C1,75
50,urwâgashá,11|10,P2-C1,75
433,akâra,12113,P15-C1,66
94,Jondamaniyáhire,1a,P3-C2,65
637,ibágabága,5l6,P21-C1,62
666,sákabaká,9a,P21-C2,56
42,inzăgamīra,10,P2-C1,53
1302,ibitalo,8,P37-C2,51
504,umwasano,4,P16-C2,49
412,urwănwa,1,P14-C1,39
854,ibăare,5j6,P27-C1,32
434,Bwâra,14a,P15-C1,31
2250,indábango,9110,P63-C2,29
250,urwampi,11110,P9-C1,29
322,iyàndikiro,9i,P11-C2,27
1521,imbúguzi,9|11,P44-C1,25
89,icāhi,7(8,P3-C2,24
730,ikibando,7(8),P23-C1,22
65,icâgo,7l8,P2-C2,22
970,ikibâzūrwá,7i8,P29-C2,21
4479,ingùcgu,9j10,P127-C1,20
723,umubâândé,3)4,P23-C1,20
880,imbáruká,9|110,P27-C2,18
3174,ifûni,9ijó,P89-C2,16
343,Nyakănga,15a,P12-C1,15
1629,akabúri,12)13,P47-C2,15
291,mwănanje,lal2a,P10-C2,13
3071,ifishi,9il6,P87-C1,12
4790,gahābwá,12a,P136-C1,12
3225,ifúrwe,9ij6,P90-C2,11
290,umwânangé,3lj4,P10-C2,11
228,akarângabwăami,12j13,P8-C2,11
4979,rugenìmpănde,11a,P142-C1,10
2798,umwěhu,1i2,P78-C2,10
724,akabândé,12413,P23-C1,10
1174,ukúbi,15,P34-C2,9
5230,impâzāné,9l|10,P148-C1,9
1168,Sakírimikibí,2a,P34-C1,8
3914,kïgenze,7a,P110-C1,8
4594,ikigungūzi,7)8,P130-C1,7
3575,utuganga,13,P100-C1,7
5208,impátwe,9l10,P147-C2,7
3806,igembe,9iló,P106-C2,7
731,akabando,12(13),P23-C1,7
2983,akanyárucëse,12(13,P84-C1,6
4015,akangeza,12N,P113-C1,6
2181,incuríkirane,9|19,P61-C2,6
911,akabāti,12l13,P28-C1,6
899,imbāta,919,P28-C1,6
5787,umukâtàmpïnga,1)2,P163-C1,6
5886,ubuhirwe,14|6,P165-C2,6
1061,imbere,9|6,P31-C2,5
4463,igufuri,516,P126-C2,5
4859,amampāhwa,6N,P138-C1,5
1193,ibigíbigi,5i6,P35-C1,5
5731,intêshagáhimbo,9J10,P161-C2,5
1879,gucápaa,5|9il6,P53-C2,5
7018,ijabuka,5l|6,P198-C1,5
287,umwâânamo,3f4,P10-C2,4
6236,mahubúke,1al2a,P174-C2,4
9335,idekamētéro,9ill0i,P264-C2,4
1836,umucâmo,3i4,P52-C2,4
5138,umuanyêmpări,5|9,P145-C2,4
3861,ukugéne,17,P108-C2,4
687,umubambano,3(4),P22-C1,4
2827,intêmérwa,9ji0,P79-C2,4
457,ubwarike,146,P15-C2,4
918,urubâtu,11(10),P28-C1,4
1331,urubōbo,11)10,P38-C1,3
2855,Cêne,3a,P80-C2,3
4630,umuguranyi,142,P130-C2,3
215,umwambuazi,1(2),P8-C1,3
4866,guhakanira,I,P138-C1,3
7606,igikaranka,748,P215-C1,3
9480,ubumúga,14l6,P268-C2,3
5331,muhekenya,9a|10a,P150-C2,3
491,kwâsamika,16,P16-C1,3
2147,icùpa,S56,P60-C2,3
1908,umŭncēké,3NJ4N,P54-C2,3
1278,umubírikirá,3!4,P37-C1,3
144,icākirizo,118,P5-C2,3
6762,iyígīisha,5|9i,P189-C1,3
7401,umûnkambá,3N|4N,P209-C2,3
9185,akamāri,12l)13,P260-C2,3
844,imbárano,96,P26-C2,3
760,urubangara,11j10,P24-C1,3
10671,urunyugúti,11l10,P301-C2,3
4204,ingoma,9j6,P118-C2,3
8872,umukûté,3l)4,P251-C1,3
3544,umuganda,9a|l0a,P99-C1,3
10920,urwônyi,11|8,P311-C2,2
170,urwîyamané,1i,P6-C2,2
3977,igerevēliya,9i6,P112-C1,2
354,inyàngāzíi,90,P12-C2,2
12973,isáho,9lil6,P389-C2,2
10113,itôndagizamánòóta,9i|l0i,P286-C1,2
495,iyásamura,9l,P16-C2,2
3670,ingāra,11410,P102-C2,2
8128,mukó,18,P229-C1,2
10168,umurunturuntu,3RUJ4RU,P287-C2,2
231,umwămikazi,42,P8-C2,2
4216,ikigóma,7|l8,P119-C1,2
4652,ikingurube,7NJ8N,P131-C1,2
12076,ikirimbi,7j8,P358-C1,2
8838,isábukúru,9l6,P250-C2,2
3034,ifarāsi,9liló,P86-C1,2
18483,biyërí,8a,P558-C2,2
11673,indáso,9l)10,P341-C2,2
11075,gupfira,applic.,P317-C1,2
8638,urukûká,11|12,P243-C2,2
402,urwano,1f,P14-C1,2
13390,isega,9ilj6,P404-C1,2
5231,agaháze,12013,P148-C1,2
1531,akabŭku,12|f3,P44-C1,2
619,umubábwe,3(4,P20-C2,2
612,ikibaboo,7!8,P20-C1,2
15040,nyawïsubiráko,5a,P452-C1,2
7400,umukămba,3|l4,P209-C2,2
15190,umusumyi,1!2,P456-C2,2
1016,urubého,110,P30-C2,2
608,ingendarubabi,9H0,P20-C1,2
1377,imbóhōra,9|i0,P39-C1,2
73,ubwâkwahá,148,P3-C1,2
6202,nyahoza,1a|2a,P174-C1,2
1503,imbuga,9)10,P43-C2,2
14365,ishushānyo,5|9ij6,P434-C1,2
680,imbâmbagará,9|t0,P22-C1,2
1912,umuceko,3J4,P54-C2,2
1755,rubwiríza,1la,P50-C2,2
7242,ijoro,5lj6,P204-C1,2
1746,nyawïbwira,1lal2a,P50-C1,2
5883,umuhirwa,1(2,P165-C1,2
6918,Rwămăirire,9a|11,P193-C2,2
674,akabákuzo,120113,P21-C2,2
9170,ikimăramāre,78|14,P260-C1,1
7361,umukâká,3j44,P208-C2,1
7285,urujuru,1114,P205-C2,1
18879,intâmayûrûzi,9|10|11,P572-C1,1
8907,igikwàbari,788,P252-C1,1
7371,ikāki,9ż,P208-C2,1
19294,umùûzo,3!14,P584-C2,1
7175,ijipo,9all6,P202-C1,1
7158,kujingana,201,P201-C2,1
9479,ikimúga,"7(8, (cfr -múgar-)",P268-C2,1
7290,nyabwïjute,9lall0a,P206-C1,1
9052,iliturjiyá,94,P256-C2,1
18885,ikíntāzí,7N|8N,P572-C2,1
8278,igikómezo,ibi,P233-C2,1
7535,igikano,41711,P213-C2,1
7951,ikěte,5|9iló,P223-C2,1
7754,agasâmbabákěcuru,12J13,P219-C1,1
7660,igikatikati,"7(8, tjs en C)",P216-C2,1
7978,urukígo,11KI,P224-C2,1
7614,ikaravăti,9ijl6,P215-C2,1
7611,urukáratăsi,11ji0,P215-C2,1
7993,urukîko,1t,P225-C1,1
7598,gukáranga,(-kár--),P215-C1,1
7597,gukaramuka,(-karam--),P215-C1,1
7596,ikárămu,9ill6,P215-C1,1
19074,ukuzimu,15|17,P577-C2,1
19036,kitazimângana,7al8a,P576-C2,1
8167,nkurìnkôbwa,9al10a,P230-C2,1
18939,inzígamarúgo,V,P574-C1,1
7580,agakara,12|14,P214-C2,1
19043,izimāno,5|9|10,P576-C2,1
8186,gukōkera,i,P231-C2,1
17345,igitwengo,7i|8,P520-C2,1
10962,nyakôtsi,9lal|l0a,P313-C1,1
9732,umunánuké,"1(2, (cfr -nanuk-))",P276-C1,1
14647,umusinyi,3|44,P442-C1,1
13488,isemo,9i|l0,P407-C1,1
18364,inkúbamuyaga,9|3,P555-C1,1
13865,igisheshera,"7(8, syphillis",P418-C1,1
13871,urushí,116 ou 10,P418-C1,1
13947,mushíkāwe,llal2a,P421-C1,1
18350,umuyabaga,"1|2, 4",P555-C1,1
13954,gashíkike,124,P421-C1,1
14370,ishusho,10i,P434-C1,1
17979,urwâvumbá,1118,P541-C1,1
14375,ishûshú,9i|10i,P434-C1,1
14440,igishwigiri,9|l6,P435-C2,1
14599,isíimbi,9ijló,P440-C2,1
14611,inabisimbo,1|2a,P441-C1,1
17597,inkûmwá,9KA,P529-C2,1
9897,urunigi,114190,P281-C1,1
14665,isipiri,9i|l6,P442-C2,1
14886,smo,9|12,P447-C2,1
17490,icūguruzo,7l|8,P526-C2,1
15259,isùsa,pignon,P458-C1,1
17361,ugutwí,15j6,P521-C1,1
15342,igisyâré,"7(8, Dioscorea dumetorum (KuNTH.) Pax.",P459-C2,1
15472,tagatifu,463 sw.,P463-C2,1
15730,itănga,35j6,P472-C1,1
15873,rutáre,476,P476-C1,1
15901,urutaro,van,P477-C1,1
16235,inyamuntenge,"9|(10, oiseau non identifié; ses plumes seraient employées comme aphrodisiaque.)",P487-C1,1
16711,rutaramatongo,7al|8a,P501-C2,1
16732,itonwări,9|16,P502-C1,1
13319,gusáyangana,(-sáy--),P401-C2,1
13287,masâte,6a,P400-C2,1
13271,rusāsumaa,fla,P400-C1,1
13112,isanduruma,9i|i0i,P394-C2,1
9963,runíni,1fla,P283-C1,1
18840,Inánzerére,10a,P570-C2,1
9975,igikininti,7KI|8KI,P283-C1,1
18534,kwîyo,0,P559-C2,1
10175,akanūbwe,12(13 ou ikinūbwe,P287-C2,1
10303,inyâga,9lj10,P291-C2,1
10426,ubunyégamo,14N,P295-C2,1
10508,kunyíginyura,l,P297-C2,1
10646,umunyota,cendre,P301-C1,1
10915,urwônōrí,11()10,P311-C1,1
10930,nyabwôro,12al|i4a,P311-C2,1
17259,gututura,9|14,P517-C2,1
11061,-pfâsóni,11|14,P317-C1,1
11277,ubukarábe,14KA,P326-C1,1
11646,uburâro,14)6,P340-C2,1
18467,ikiyênzěri,708,P558-C1,1
18409,uruyanza,14|110,P556-C2,1
11701,inziràndāvyi,9ll0,P342-C2,1
12039,burikōko,99a,P356-C2,1
12185,ururírimbo,11|10 ou 9|10,P363-C1,1
12271,ururogōzo,1110 ou 9l|10,P365-C2,1
12554,inárume,laj2a,P375-C1,1
12759,ryama,5a|9a,P382-C1,1
12798,ndimiràndyé,Íai2a,P383-C1,1
12899,umugisābo,3KIJ4KI,P387-C1,1
12900,akanyabusābo,12:13,P387-C1,1
13109,agasando,bident,P394-C2,1
13946,mushíkănyu,lal|2a,P421-C1,1
3888,ingêngeterezi,91G,P109-C1,1
6906,inshirukabwira,9(10,P193-C1,1
1032,ibénėti,5lé,P30-C2,1
1144,urubėvya,11|19,P33-C2,1
1147,umubėya,f1,P33-C2,1
1195,ikibigu,"7(8, (cfr -bigur-))",P35-C1,1
1245,urubingo,14|10,P36-C1,1
1380,akabóko,156,P39-C2,1
1429,akābāboné,12BA|I3BA,P41-C1,1
1493,imbûbūusi,9i10,P43-C1,1
1530,ibūuku,5l,P44-C1,1
1560,rubûndá,1ta,P45-C1,1
1569,ibundi,5'6,P45-C1,1
1706,igihândàmbwá,9M0,P49-C1,1
1707,umuryâmbwá,I|2,P49-C1,1
1711,akabwá,3331,P49-C1,1
1783,urucăca,1|10,P51-C2,1
1927,agacéreré,"12(13, (-cér--))",P54-C2,1
1943,ikidácīká,1b1-,P55-C1,1
2028,icôngé,5(6),P57-C2,1
2037,igicu,1177,P57-C2,1
2087,agacukuzi,12t13,P59-C1,1
2163,umucûûrano,2ba-,P61-C1,1
2226,inda,H10,P63-C1,1
2227,akómunda,1218,P63-C1,1
2235,Nsumírinda,lala,P63-C1,1
2437,Mudcnde,lalža,P68-C1,1
2438,akaděnde,1l2j13,P68-C1,1
2504,kudīga,moduler,P70-C1,1
2617,kudúgarika,9j410,P74-C1,1
1092,kubérera,32,P32-C1,1
1002,urubega,11H10,P30-C1,1
6679,ikimpwìri,7NJ|8N,P186-C2,1
968,akabázo,12jfi3,P29-C2,1
13,inyawïyabira,9lal2a,P1-C1,1
72,ukwâha,15|6,P3-C1,1
78,urwaha,1l,P3-C1,1
246,urwâmo,11190,P9-C1,1
269,bāmwâna,24,P10-C1,1
277,akâna,1243,P10-C1,1
283,urwânāgá,11ll|10,P10-C2,1
289,inyánăna,9j19,P10-C2,1
370,akāabwâníke,FBU,P12-C2,1
386,urwânkàmpězu,v,P13-C1,1
408,umwânuko,"3(l, (cfr -ânuk-))",P14-C1,1
418,umwănya,3ij4,P14-C2,1
510,akâshi,12|135,P16-C2,1
533,urwââto,11(10,P17-C1,1
541,akătsi,12|l3,P17-C2,1
628,umubága,3)44,P20-C2,1
631,kubâga,ze,P20-C2,1
671,ibákulí,5|é6,P21-C2,1
808,umubânyi,9jl0,P25-C1,1
811,urubănza,114)10,P25-C2,1
829,imbárabára,9j,P26-C2,1
830,ibarăfu,9ijli,P26-C2,1
834,imbarágasa,9l)l0,P26-C2,1
870,urubáriro,11|f0,P27-C2,1
914,ibáiisímu,9j)0,P28-C1,1
922,imbáturo,9jt0,P28-C2,1
967,imbāzo,9lji0,P29-C2,1
2644,kudūma,107,P74-C2,1
2670,idûndu,5!6,P75-C1,1
2730,akêbo,12|i3,P77-C1,1
2820,umwembe,3t4,P79-C2,1
4215,igma,5j,P119-C1,1
4233,urugombeko,11|20,P119-C2,1
4237,bigombo,9lalla (préf. 8),P119-C2,1
4285,igonânwe,5jó,P120-C2,1
4494,urugúha,11J10|9l10,P127-C2,1
4675,gushika,131,P131-C2,1
4730,umukururàngwes,3KUJSL4KU,P133-C1,1
4998,ihănga,55,P142-C1,1
5153,akăruhariwe,12RUJI3RU,P146-C1,1
5238,igihe,"7(8, moment, temps, instant",P148-C2,1
5289,nyamihēëhe,9ali0,P149-C2,1
5329,Rwamahéke,11MA,P150-C2,1
5366,sâruhëmbe,9alla,P152-C1,1
5464,Nyamíhène,9a|ia,P154-C1,1
5466,igisómàmpėne,"7|8, 9",P154-C1,1
5496,guhenyeka,pop.,P155-C1,1
5670,ikimpigínya,7N,P160-C1,1
5820,uruhinja,11119,P164-C1,1
5827,akāmuhinya,12MU,P164-C1,1
5897,mpishi,9a|lg0a,P165-C2,1
5992,umuhōho,arc,P168-C1,1
6007,ubuhoma,1410,P168-C2,1
6103,igihôngwahôngwa,7J8,P171-C1,1
6480,amahğre,7|9|14,P181-C1,1
6501,igihurūduka,710,P181-C2,1
6559,urumpuzenge,11N,P183-C2,1
6646,impwěrwa,9j1i0,P186-C1,1
4120,kugishisha,1|Fam,P116-C2,1
4119,kugīshanya,116,P116-C1,1
4097,magirírane,6q,P115-C2,1
3412,ngabúrwa,94li0a,P96-C2,1
2841,umwěnda,rw.,P80-C1,1
3115,mafubo,tal2a,P88-C1,1
3126,ifùku,9ijé,P88-C1,1
3131,ifúkunya,9i)10,P88-C2,1
3138,ifumba,9i)6,P88-C2,1
3161,ifmmdi,90r: et 6,P89-C1,1
3181,imfênzofûûnzo,9|f0,P89-C2,1
3183,imfúra,9)19,P89-C2,1
3207,ifùūru,9|ó,P90-C1,1
3228,ifúrwe,9i!6,P90-C2,1
3230,ifúshi,9if6,P90-C2,1
3265,imfyatange,9li0,P91-C1,1
3433,urugágamá,11010,P96-C2,1
4019,ngezaho,9a|1a,P113-C2,1
3449,akagâgazo,l2113,P97-C1,1
3550,urugănda,1lj10,P99-C2,1
3584,kugângāra,j,P100-C2,1
3630,kugánwakaraa,ctr -gâánwa 1,P102-C1,1
3711,ingaruka,9f6,P104-C1,1
3901,umugenza,3lll4,P109-C2,1
3909,mugenzabo,laæl2a,P110-C1,1
3921,urutangirabagenzi,14110,P110-C1,1
3929,ikinyamugera,"7(8, (cfe -gera 3)",P110-C2,1
3942,umugeragezo,3M4,P111-C1,1
3955,bugerésere,Ia,P111-C2,1
3971,urugerero,9010,P112-C1,1
19305,izosi,56|col|cou,P585-C1,1
